Id,Price
4567,158969.195625
5925,114792.25625
960,141539.1190625
3848,137134.985234375
746,193635.28171875
868,324524.9509375
672,113771.680078125
2471,206402.697109375
4510,110764.085703125
8354,237648.0097265625
6393,173651.427734375
13270,228532.64390625
5250,339652.39921875
16751,167480.58296875
11404,126731.195546875
10588,303466.78953125
14925,185193.52734375
6791,196521.64625
16097,188678.65046875
16428,360416.52625
6945,345663.425625
3190,185570.80609375
15709,435301.46609375
13155,151162.812265625
7675,185276.976328125
14686,222522.17234375
609,174730.378359375
11155,174510.357578125
10869,202915.01390625
15742,186904.17359375
9245,189944.9703125
3340,175131.74546875
2359,285481.47515625
8070,190206.076484375
13707,128844.98828125
16079,281592.440625
15937,259803.15328125
14090,168467.48
9008,213232.113515625
16384,183740.73
11657,256832.848828125
13151,169448.254765625
8990,152731.578984375
11857,183760.27515625
1565,166879.95359375
8174,127802.784921875
9247,242464.093359375
10478,213534.814609375
15509,148799.886875
8306,257353.123828125
6642,187031.73421875
7472,197344.41359375
15989,130471.690078125
13682,129734.4384375
163,284329.54625
7076,178298.6484375
7478,325794.319921875
3029,186212.77109375
1814,148619.3028125
10057,127419.434140625
15100,191838.04296875
12694,233154.56609375
6291,173411.690390625
12603,190650.0915625
3218,242119.92515625
13456,126981.78875
10170,238503.36859375
4530,168808.26984375
13329,183987.090859375
4820,143536.05171875
10896,176827.6515625
13416,115659.508671875
2701,225226.8927734375
11265,344168.978203125
9189,244741.2078125
1858,177322.41046875
14536,237649.14953125
6199,269382.698359375
14730,151110.017734375
7510,258023.954375
15505,161520.451796875
7446,192392.94453125
14016,202108.15109375
14113,109782.701484375
8721,304296.84890625
6193,301940.859140625
5717,181865.00171875
5427,286090.52421875
9520,445880.8765625
6869,106794.85703125
1658,154554.381484375
6639,207087.593125
6283,182551.681484375
6257,123436.287265625
15235,176671.571875
902,277999.53453125
8932,191156.5578125
16469,382535.511875
2825,233228.8278125
6450,420643.21359375
11366,183023.99921875
3801,367164.628125
11385,195215.089140625
1079,191498.533984375
3202,229942.8759375
676,223047.623125
6185,290405.9353125
7730,161778.315703125
2573,183960.081875
10978,203801.35890625
10962,261152.057890625
8870,188821.7825
8496,187273.406640625
5517,175162.831875
927,175933.65015625
13675,190755.865078125
1499,215820.32859375
15536,349981.1328125
8602,353455.81125
12137,409442.014921875
9865,257482.595546875
16353,285613.61859375
15908,223802.74796875
3944,184821.057734375
10359,203978.278828125
15158,197862.176171875
3259,254922.25875
7220,328546.6753125
13843,212692.20296875
16736,174211.96109375
702,244841.342578125
16401,335790.731484375
12134,182823.2771875
6918,201800.1915625
11792,125879.806171875
3798,160325.35765625
10395,131031.79203125
11099,139704.047265625
7090,193772.38515625
11260,188278.330546875
9647,216474.6234375
2903,392775.558671875
2071,183247.69046875
8604,190144.5380859375
9346,199603.44359375
3945,206971.083046875
3420,126303.681953125
10842,127014.487265625
725,161197.989140625
13931,197816.629453125
16330,229940.66859375
9066,392910.06953125
3326,298041.561953125
1556,267662.432109375
6579,99466.6553125
13877,146939.316171875
9857,332731.58640625
7302,261070.91078125
5684,185283.717890625
6513,221421.07015625
11342,117206.585
16561,222804.10359375
6885,175224.645703125
9308,180004.282734375
2559,236692.57984375
6648,181012.144609375
15260,169669.740234375
5113,188073.723125
16492,202751.5409375
12034,292052.020625
7248,212357.580625
2171,210338.48484375
10594,148865.115078125
13241,189575.81953125
7032,143628.505078125
4884,173438.71640625
903,196307.01859375
162,178985.35
6566,249399.164375
8249,121684.26265625
13106,201268.979453125
256,124172.93703125
7976,166932.82921875
8575,163555.55015625
7591,279797.343671875
3204,180885.841328125
15804,188930.6859375
1525,305634.99859375
9038,191706.04609375
13628,186487.16296875
10016,205543.9421875
10208,226996.3884375
2008,188225.05578125
13029,204033.765390625
5099,128289.528125
9923,292341.318203125
9461,111247.104375
11086,183632.1903125
15057,264761.03875
10689,171001.934375
2053,207023.958828125
16630,163402.46796875
4985,165808.81140625
13881,278377.54171875
13225,204022.18671875
5779,66434.2462890625
10262,182789.14921875
10762,209327.117734375
9513,196431.40734375
11128,161705.29078125
2074,290761.20328125
933,198455.70390625
2780,174764.5428125
6594,111818.088046875
15394,296707.359296875
14863,149260.670625
6698,226143.9875
1611,238080.50734375
174,183670.50609375
5160,229657.9096875
3295,326271.2746875
4559,383855.17859375
8254,174546.36796875
10228,109590.625
13924,138179.069453125
15341,243245.19234375
4353,182689.2225
4334,69582.493828125
1872,156719.6857421875
7823,184279.776640625
310,144987.184296875
3704,218569.56109375
11615,300909.851953125
6605,209771.13
3381,193040.48796875
2143,143431.2840625
3191,272146.27734375
13980,178786.523671875
15613,169334.12421875
10943,239453.95640625
9654,106706.945078125
16053,406260.501640625
14931,215875.41578125
8299,256514.01
2147,170828.47359375
11567,485362.3665625
5905,137986.986796875
11160,110286.241171875
8275,142773.825546875
16398,269796.5640625
11229,200796.45515625
10309,157409.616484375
7340,277936.39453125
7653,163137.115625
272,210099.281484375
9831,223316.42421875
5016,165047.845
5968,75484.5415625
796,257870.5896875
12123,124457.8178125
16629,173213.16828125
2637,182068.94390625
6194,217288.4209375
6216,341202.2573828125
14346,167308.45921875
6428,137659.97625
2891,243061.063828125
84,173447.84359375
9260,208580.2028125
15250,130805.459296875
2348,208043.016953125
10427,288797.544765625
13230,235247.94671875
1691,220909.382109375
8803,125267.5990625
5464,222504.723046875
10559,114441.63359375
16787,309850.584921875
4278,159296.256328125
6183,168364.831796875
12775,163451.351171875
10104,167978.49015625
13663,187889.9488671875
9404,261628.91125
14724,219125.1484375
10040,190229.380625
4646,195132.980625
4754,163386.40953125
3310,212292.4053125
2003,198858.172421875
7312,195268.89265625
10921,233116.18328125
13419,284921.76921875
10105,157115.26140625
2196,430158.018203125
12659,234901.6903125
4380,226320.22359375
10847,152925.928125
10805,282301.804296875
8709,95487.334765625
8319,175349.5684375
2215,185488.626015625
7000,203284.43890625
7701,101692.026015625
9678,183876.568515625
14026,175905.776484375
7971,167624.1784375
13734,139475.0015625
16483,196276.254921875
6150,212881.0421875
2931,283997.17828125
5418,188141.64109375
1662,480470.299375
2441,210776.932421875
669,118254.81953125
7734,197190.0965625
6010,216292.515
266,139018.6128125
632,144853.28546875
16221,105856.089921875
11832,173745.093515625
5035,123751.418125
37,116137.247421875
6168,180562.98015625
11757,187194.468671875
8086,125265.6171875
6529,238325.4471875
15121,192833.22171875
13904,138012.784375
3711,161113.5746875
16563,125172.865546875
14494,180385.6578125
3006,219343.28703125
15299,102063.08875
92,278245.34890625
8066,181755.8903125
16071,216780.82640625
10662,131929.404609375
3883,243182.386875
5511,120776.19015625
2821,261958.14796875
9570,197781.895703125
4326,231047.123125
9251,238278.024375
9031,212703.55890625
12689,177059.670390625
16380,246866.685078125
1053,250445.10328125
4568,179215.140859375
16140,118734.344296875
14356,398951.0403125
8466,181037.86203125
15652,140202.8740625
3285,122352.13328125
3198,165449.75
14088,432746.33265625
2268,119318.915
15472,193936.2125
1203,205081.676953125
7157,344885.831875
6886,189060.556640625
5083,248123.58390625
7467,114947.782578125
14068,213207.431640625
2080,185401.6840625
10865,157299.3909375
13516,182795.691484375
14150,203832.46796875
7609,103798.597421875
2144,379812.9775
10357,203969.02984375
2396,228909.43015625
1526,360726.8346875
10890,254449.328125
8638,460340.09390625
6050,233553.420078125
7639,101752.19515625
10544,203896.222421875
9577,238268.813984375
13195,218162.338125
3484,230487.636875
16668,468368.229375
7171,178534.4684375
8547,214260.42921875
12735,203133.371171875
9093,203977.4615625
15323,234229.870859375
14897,149333.45515625
5135,145164.424296875
5327,186678.514375
13133,253689.11421875
1676,283010.52203125
16296,295064.6425
1095,141516.64984375
12528,156687.2028125
7348,269892.5721875
11663,168579.84359375
1803,195905.4909375
